"","Player","G","GS","QBrec","Cmp","Att","Cmp%","Yds","TD.x","TD%","Int","Int%","Lng","Y/A","AY/A","Y/C","Y/G","Rate","Sk.x","Sk_Yds","NY/A","ANY/A","Sk%","4QC","GWD","FF","Fmb","FR","FmYds","TD.y","Coll.Comp","Coll.Att","Coll.TD","Coll.Int","Coll.Yds","Coll.Fum","Coll.FumL","Coll.Comp.Pct","games","games_started","Year","Rnd","Pick","Tm","fumb_lost","coll_int_pct","int_pct","fumb_lost_game"
"11","Johnny Manziel",15,8,"36562",147,258,57,1675,7,2.7,7,2.7,61,6.5,5.8,11.4,111.7,74.4,22,167,5.39,4.76,7.9,0,0,0,7,1,0,0,595,863,63,22,7820,5,3,0.689455388180765,15,8,"2014","1","22","CLE",6,0.0254924681344148,0.027,0.4
"12","Teddy Bridgewater",30,28,"17-11-0",551,851,64.7,6150,28,3.3,22,2.6,87,7.2,6.7,11.2,205,86.3,83,556,5.99,5.53,8.9,4,4,0,11,2,-2,0,781,1142,72,24,9817,9,2,0.683887915936953,30,28,"2014","1","32","MIN",9,0.021015761821366,0.026,0.3
"13","Derek Carr",62,62,"28-34-0",1378,2247,61.3,14690,103,4.6,44,2,87,6.5,6.6,10.7,236.9,87.5,91,559,6.04,6.08,3.9,13,13,0,33,7,-56,0,1077,1616,113,24,12731,13,7,0.666460396039604,62,62,"2014","2","36","OAK",26,0.0148514851485149,0.02,0.419354838709677
"14","Jimmy Garoppolo",23,7,"7-0-0",183,272,67.3,2250,12,4.4,5,1.8,61,8.3,8.3,12.3,97.8,99.7,16,108,7.44,7.49,5.6,3,3,0,3,1,-3,0,706,1108,84,24,8873,19,5,0.637184115523466,23,7,"2014","2","62","NWE",2,0.0216606498194946,0.018,0.0869565217391304
"15","EJ Manuel",30,18,"36689",343,590,58.1,3767,20,3.4,16,2.7,80,6.4,5.8,11,125.6,77.1,47,297,5.45,4.95,7.4,1,3,0,11,4,-5,0,600,897,47,28,7736,19,7,0.668896321070234,30,18,"2013","1","16","BUF",7,0.0312151616499443,0.027,0.233333333333333
"16","Geno Smith",35,31,"36879",522,902,57.9,6174,29,3.2,36,4,74,6.8,5.7,11.8,176.4,72.9,80,540,5.74,4.68,8.1,3,7,1,19,8,-23,0,956,1416,97,20,11353,29,14,0.675141242937853,35,31,"2013","2","39","NYJ",11,0.0141242937853107,0.04,0.314285714285714
"17","Andrew Luck",70,70,"43-27-0",1570,2651,59.2,19078,132,5,68,2.6,87,7.2,7,12.2,272.5,87.3,156,990,6.44,6.29,5.6,13,17,0,38,13,-42,0,713,1064,82,22,9430,15,5,0.670112781954887,70,70,"2012","1","1","IND",25,0.0206766917293233,0.026,0.357142857142857
"18","Robert Griffin",42,40,"15-25-0",766,1210,63.3,8983,42,3.5,26,2.1,88,7.4,7.2,11.7,213.9,88.4,123,856,6.1,5.85,9.2,4,5,0,36,10,-77,0,755,1123,74,17,9885,28,12,0.672306322350846,42,40,"2012","1","2","WAS",26,0.0151380231522707,0.021,0.619047619047619
"19","Ryan Tannehill",77,77,"37-40-0",1653,2637,62.7,18455,106,4,66,2.5,80,7,6.7,11.2,239.7,86.5,213,1606,5.91,5.61,7.5,12,10,0,47,16,-46,0,484,774,42,21,5450,10,3,0.625322997416021,77,77,"2012","1","8","MIA",31,0.0271317829457364,0.025,0.402597402597403
"20","Brandon Weeden",34,25,"36696",559,965,57.9,6462,31,3.2,30,3.1,95,6.7,5.9,11.6,190.1,76,66,452,5.83,5.12,6.4,2,3,0,15,2,-8,0,765,1099,75,27,9252,7,3,0.696087352138308,34,25,"2012","1","22","CLE",13,0.0245677888989991,0.031,0.382352941176471
